-11.5,2.8594,5.6823,0.75802,1.3282,8.9954,23.177,512.32,52.388,39.593,55.018
-15.5,2.4746,4.5191,0.39792,1.2695,9.6257,7.7817,724.05,31.113,46.894,58.887
-17,3.2531,6.0877,0.3825,1.2673,6.1434,5.5493,584.72,26.277,42.387,57.99
-19.5,1.7132,4.1136,0.19188,1.1813,8.7415,5.2934,441.3,23.121,40.913,56.519
-12,3.2989,6.4294,1.7647,1.6058,13.373,22.759,525.99,46.559,54.104,61.717
-11,2.112,4.5004,1.9037,1.6528,14.809,32.832,456.08,52.059,37.464,53.515
-16,3.4453,6.6277,0.47967,1.1657,8.7759,6.4581,676.72,30.472,55.472,62.12
-14,2.4576,4.9342,0.11456,1.0911,5.2767,14.204,680.27,41.299,45.63,55.832
-19,2.1836,4.695,0.023054,1.099,6.3002,4.6103,469.14,20.958,45.182,55.533
-13,3.4446,6.6249,0.74824,1.2109,11.937,14.481,648.92,41.487,54.247,61.901
-18.5,3.0039,5.8829,0.016396,1.097,11.252,5.9104,557.04,25.064,39.729,54.897
-10,2.1019,4.5294,1.149,1.2108,21.554,39.172,421.29,45.558,46.341,56.165
-13.5,1.8685,4.1039,0.98047,1.304,13.894,16.071,708.13,39.774,33.483,52.895
-20,2.3099,4.8497,0.01438,1.0973,1.2586,3.1421,445.83,20.803,38.319,56.456
-15,1.7209,3.7548,0.25066,1.1768,8.8841,6.9409,731.58,31.997,42.883,55.832
-12.5,2.2104,4.7206,1.0247,1.5006,30.47,20.13,618.98,46.131,44.766,58.361
-14.5,1.721,3.7544,0.65294,1.2633,13.465,8.7824,736.94,35.423,42.883,55.832
-16.5,1.8685,4.2868,0.032869,1.0973,4.1039,6.2294,650.72,29.98,45.597,58.414
-18,2.9799,6.0321,0.033726,1.0993,2.9504,4.7718,533.61,20.636,46.21,59.025
-17.5,2.8511,5.6777,0.20464,1.0983,9.4008,5.3877,622.85,27.59,36.616,54.975
-10.5,1.8569,4.3125,1.7487,1.6005,15.246,26.94,425.1,49.739,52.935,55.212
